score_rank,code,name,score_total,score_value,score_quality,score_safety,score_pe,score_peg,score_roe,score_gpm,score_dy,score_cet,pe,peg,con_roe,gpm,dy,cetop,exp_g,mv_yi,price,in_gm,weight
137,300693.SZ,盛弘股份,37.4,21.7,85.5,20.9,11.9,36.4,90.9,77.3,15.9,28.4,23.9,0.76,23.3,39.3,0.87,5.73,28.6,130.2,40.83,True,0.025
138,600486.SH,扬农化工,36.9,36.0,39.2,36.2,48.3,17.6,39.2,39.2,20.6,59.7,17.2,0.86,11.6,21.2,1.07,10.57,13.9,218.8,55.08,False,0.025
139,600699.SH,均胜电子,36.9,35.1,28.9,48.6,19.9,58.0,29.5,27.8,26.5,81.8,21.5,0.62,10.2,18.3,1.23,18.08,34.8,294.3,19.2,False,0.025
140,000422.SZ,湖北宜化,36.7,29.3,27.5,60.5,42.0,10.2,33.0,19.3,39.4,92.0,18.5,0.93,10.5,16.0,1.63,28.22,7.3,135.2,12.57,False,0.025
141,000937.SZ,冀中能源,35.6,18.8,20.7,84.1,5.1,39.2,0.0,51.7,98.8,61.9,47.4,0.75,4.2,26.1,8.75,10.82,36.3,192.0,5.14,True,0.025
142,688016.SH,心脉医疗,35.2,21.8,73.8,23.3,36.4,0.0,58.5,96.6,25.9,19.3,19.3,1.0,13.9,72.0,1.22,4.86,16.4,113.7,90.84,True,0.025
143,600872.SH,中炬高新,34.7,21.4,58.9,37.4,27.3,12.5,43.2,82.4,42.9,29.0,20.6,0.92,12.0,41.1,1.71,6.03,30.7,142.9,18.31,True,0.025
144,603092.SH,德力佳,34.6,21.5,60.1,35.5,32.4,5.1,68.8,47.2,50.0,13.6,19.8,0.95,15.6,24.9,,3.85,18.3,167.3,42.0,False,0.025
145,002258.SZ,利尔化学,34.0,32.5,14.9,56.1,9.1,67.6,9.7,22.7,58.2,52.8,25.6,0.55,7.7,17.0,2.06,9.36,36.6,112.6,14.16,False,0.025
146,002601.SZ,龙佰集团,33.7,27.0,14.8,65.8,4.5,60.8,4.5,30.1,66.5,64.8,51.9,0.6,6.5,18.8,2.25,11.47,26.8,387.0,16.25,False,0.025
147,002304.SZ,洋河股份,33.7,2.6,40.1,89.6,2.8,2.3,2.8,96.0,84.1,97.7,59.2,0.98,5.7,70.8,3.23,753.97,29.2,601.2,38.88,True,0.025
148,002158.SZ,汉钟精机,33.5,13.1,55.1,52.7,8.5,19.9,44.9,70.5,72.4,23.3,27.9,0.85,12.3,33.5,2.56,5.45,29.6,137.4,27.85,True,0.025
149,000725.SZ,京东方Ａ,33.5,26.0,9.3,72.7,6.2,55.7,3.4,18.2,63.5,86.4,35.6,0.63,5.8,15.6,2.21,21.28,42.1,2118.9,5.94,False,0.025
150,600458.SH,时代新材,33.4,36.4,11.5,49.3,31.8,43.2,8.5,15.9,26.5,83.5,19.9,0.73,7.5,14.7,1.23,18.76,23.2,110.4,11.89,False,0.025
151,002541.SZ,鸿路钢构,32.7,44.8,12.0,29.4,21.6,79.5,17.0,4.5,36.5,18.8,21.3,0.47,8.3,9.9,1.55,4.84,44.1,136.9,19.86,False,0.025
152,001221.SZ,悍高集团,32.1,16.0,84.1,12.4,23.3,5.1,89.8,75.6,4.7,23.9,21.0,0.95,23.1,36.5,0.61,5.51,17.5,153.4,38.25,True,0.025
153,002595.SZ,豪迈科技,32.1,17.5,77.2,16.4,13.6,23.3,81.2,71.0,24.7,4.0,22.9,0.84,19.7,33.6,1.2,1.7,22.8,547.8,47.48,True,0.025
154,002475.SZ,立讯精密,32.1,33.5,54.7,6.6,9.7,69.3,85.8,8.0,1.2,14.8,24.8,0.53,21.1,12.0,0.43,4.09,38.2,4419.1,57.18,False,0.025
155,603296.SH,华勤技术,31.7,30.7,45.1,20.3,15.9,52.8,73.3,2.8,32.4,2.3,22.7,0.65,16.8,8.0,1.37,1.49,44.6,1170.0,78.49,False,0.025
156,603606.SH,东方电缆,31.6,28.6,59.0,10.2,25.0,34.1,71.0,40.9,9.4,11.4,20.8,0.79,16.4,22.2,0.77,3.54,21.8,283.5,34.24,False,0.025
157,300130.SZ,新国都,31.6,24.5,52.3,24.9,11.4,44.3,42.0,67.6,33.5,11.9,24.1,0.72,11.8,32.8,1.39,3.59,21.2,111.8,19.88,True,0.025
158,002938.SZ,鹏鼎控股,31.5,15.1,52.2,43.8,4.0,31.8,57.4,44.3,67.6,8.0,53.4,0.81,13.7,23.6,2.31,3.06,40.5,2023.2,89.2,False,0.025
159,688278.SH,特宝生物,31.3,11.1,97.8,5.1,15.9,4.0,97.2,98.9,4.7,5.7,22.7,0.96,31.4,91.1,0.61,2.68,16.8,244.9,59.05,True,0.025
160,600141.SH,兴发集团,31.1,28.0,15.5,52.9,14.8,47.7,8.0,26.7,84.7,5.1,22.8,0.7,7.4,18.1,3.25,2.27,29.7,365.3,31.15,False,0.025
161,002683.SZ,广东宏大,31.0,18.5,54.9,32.1,13.1,26.7,66.5,37.5,28.8,36.9,23.0,0.83,15.4,20.9,1.25,7.39,25.0,224.2,29.79,False,0.025
162,002340.SZ,格林美,29.6,34.4,17.4,32.0,21.0,54.5,16.5,18.8,14.7,58.0,21.4,0.64,8.2,15.9,0.84,10.35,20.6,339.8,6.65,False,0.025
163,301665.SZ,泰禾股份,29.2,16.4,52.8,31.3,23.9,5.1,52.8,52.8,18.8,50.0,20.9,0.95,13.4,27.3,1.01,9.11,20.0,108.9,25.12,True,0.025
164,600116.SH,三峡水利,29.0,38.2,4.4,35.4,56.8,10.2,1.7,8.5,24.1,52.3,15.8,0.93,5.2,12.7,1.19,9.19,39.9,121.2,6.31,False,0.025
165,601038.SH,一拖股份,28.6,25.3,26.8,36.8,33.5,13.1,33.0,17.6,35.9,38.1,19.5,0.91,10.5,15.4,1.51,7.43,7.7,161.0,14.32,False,0.025
166,301362.SZ,民爆光电,28.2,12.2,35.7,52.8,0.6,29.5,23.9,53.4,87.6,0.6,123.7,0.82,9.4,27.5,3.63,1.21,34.2,164.2,118.39,True,0.025
167,300888.SZ,稳健医疗,28.1,11.1,43.9,46.2,18.2,0.6,13.6,89.2,37.6,59.1,22.2,0.99,7.8,47.8,1.57,10.52,22.8,175.6,29.9,True,0.025
168,002597.SZ,金禾实业,27.9,29.8,8.1,44.0,3.4,69.3,4.0,14.2,57.1,24.4,56.5,0.53,6.3,14.3,2.02,5.58,51.8,113.6,20.31,False,0.025
169,600063.SH,皖维高新,27.7,37.4,7.5,28.7,10.8,77.3,6.8,8.5,34.1,20.5,24.2,0.48,7.2,12.7,1.42,5.01,48.6,118.8,5.84,False,0.025
170,601231.SH,环旭电子,27.7,25.2,19.3,41.1,6.8,52.8,29.5,4.0,61.8,10.2,31.3,0.65,10.2,9.5,2.1,3.3,31.6,637.8,27.55,False,0.025
171,300951.SZ,博硕科技,27.3,17.7,32.7,41.0,0.0,44.3,13.6,61.4,66.5,2.8,788.2,0.72,7.8,29.7,2.25,1.5,29.2,115.6,75.27,True,0.025
172,603885.SH,吉祥航空,26.9,27.7,9.9,42.2,30.7,23.3,9.7,10.2,8.2,93.2,20.2,0.84,7.7,13.2,0.71,34.25,-20.2,229.3,10.52,False,0.025
173,600875.SH,东方电气,25.7,22.4,21.9,35.9,36.9,0.6,23.3,19.9,55.3,6.8,19.2,0.99,9.3,16.1,2.01,2.91,16.0,890.9,25.95,False,0.025
174,002913.SZ,奥士康,24.4,15.0,29.5,37.9,1.1,35.8,26.1,34.7,60.6,4.0,84.6,0.78,9.6,20.2,2.08,1.7,52.6,180.2,59.01,False,0.025
175,600312.SH,平高电气,23.3,24.3,40.3,4.3,19.3,31.8,36.9,45.5,6.5,1.1,21.8,0.81,11.2,24.0,0.66,1.22,25.1,277.2,20.01,False,0.025
176,603920.SH,世运电路,23.0,9.0,30.2,43.8,1.7,19.9,36.4,21.0,68.8,6.2,69.9,0.85,11.1,16.7,2.41,2.78,14.0,268.2,38.83,False,0.025
