score_rank,code,name,score_total,score_value,score_quality,score_safety,score_pe,score_peg,score_roe,score_gpm,score_dy,score_cet,pe,peg,con_roe,gpm,dy,cetop,exp_g,mv_yi,price,in_gm,weight
28,600933.SH,爱柯迪,64.6,76.6,51.8,53.3,79.5,72.2,46.6,59.7,38.8,75.0,12.7,0.52,12.5,29.4,1.62,14.18,18.5,143.5,13.88,True,0.025
29,600801.SH,华新建材,64.4,64.9,43.4,84.3,61.9,69.3,29.5,64.2,88.2,78.4,15.3,0.53,10.2,31.2,3.68,16.05,28.2,496.5,23.94,True,0.025
30,601139.SH,深圳燃气,64.0,76.4,28.6,74.7,85.2,63.1,28.4,29.0,64.7,89.8,11.7,0.58,10.0,18.4,2.22,23.9,26.3,181.2,6.35,False,0.025
31,000685.SZ,中山公用,63.9,82.2,37.5,53.7,98.3,58.0,31.8,46.0,78.8,15.9,7.7,0.62,10.3,24.4,2.87,4.38,14.1,166.4,11.33,False,0.025
32,000528.SZ,柳    工,63.8,91.4,31.5,40.9,93.2,88.6,25.6,40.3,59.4,13.1,10.7,0.39,9.5,21.9,2.07,3.64,20.3,167.3,7.95,False,0.025
33,605599.SH,菜百股份,63.6,67.4,56.5,63.0,88.1,36.4,92.6,2.3,90.6,21.6,11.1,0.76,24.0,7.8,3.98,5.34,10.8,123.0,15.71,False,0.025
34,600710.SH,苏美达,63.2,60.3,38.6,93.6,96.0,6.8,63.6,1.1,91.2,97.2,9.8,0.94,15.1,6.7,4.0,545.52,7.9,137.5,10.57,False,0.025
35,300910.SZ,瑞丰新材,62.9,59.2,79.1,54.1,74.4,36.4,84.1,71.6,62.9,40.9,13.4,0.76,20.3,34.2,2.2,7.73,16.7,104.5,27.58,True,0.025
36,603871.SH,嘉友国际,62.7,69.8,65.7,45.8,67.0,73.9,87.5,33.0,53.5,34.1,14.5,0.51,21.9,19.8,1.97,6.91,35.8,189.9,13.52,False,0.025
37,601918.SH,新集能源,61.9,67.4,62.3,50.5,88.1,36.4,51.1,79.0,39.4,67.0,11.1,0.76,13.0,40.5,1.63,11.97,18.2,269.4,10.75,True,0.025
38,603799.SH,华友钴业,61.6,86.6,41.4,32.0,89.8,81.8,47.7,31.8,32.9,30.7,11.0,0.46,12.7,19.3,1.38,6.06,12.4,756.8,40.18,False,0.025
39,000157.SZ,中联重科,61.4,69.2,34.1,73.2,69.9,68.2,20.5,54.5,91.8,45.5,14.1,0.54,8.9,27.8,4.07,8.53,15.7,612.3,7.09,True,0.025
40,002895.SZ,川恒股份,61.2,59.3,69.5,56.6,64.8,51.1,77.3,58.0,82.9,17.0,15.1,0.68,18.1,29.1,3.18,4.72,19.6,194.4,33.02,True,0.025
41,601877.SH,正泰电器,60.9,66.6,39.5,70.8,89.8,31.8,35.2,46.0,54.7,94.9,11.0,0.81,10.8,24.4,1.99,48.29,15.8,558.1,25.74,False,0.025
42,002011.SZ,盾安环境,60.6,66.9,48.6,59.8,93.8,26.7,62.5,27.8,50.0,74.4,10.3,0.83,14.6,18.3,,14.13,4.8,108.6,10.29,False,0.025
43,000680.SZ,山推股份,60.6,80.9,65.8,14.8,85.2,74.4,81.2,42.6,7.6,25.6,11.7,0.5,19.7,22.5,0.7,5.65,21.3,155.0,10.4,False,0.025
44,600426.SH,华鲁恒升,60.4,78.4,43.9,40.8,72.7,86.9,48.9,36.4,44.1,35.8,13.7,0.4,12.9,20.7,1.74,7.21,45.0,561.0,20.82,False,0.025
45,002517.SZ,恺英网络,60.4,64.0,91.6,22.1,55.1,77.3,87.5,97.7,15.3,32.4,16.3,0.48,21.9,80.2,0.85,6.42,40.7,352.1,16.65,True,0.025
46,603233.SH,大参林,60.1,46.8,75.3,71.6,62.5,23.3,76.7,73.3,60.6,88.1,15.2,0.84,17.9,34.6,2.08,22.31,20.1,207.8,17.72,True,0.025
47,600415.SH,小商品城,59.2,53.2,75.1,55.5,65.9,34.1,82.4,64.2,39.4,79.5,15.0,0.79,19.9,31.2,1.63,16.5,18.5,675.0,12.28,True,0.025
48,601156.SH,东航物流,59.1,59.5,39.2,78.2,89.8,14.2,44.9,30.7,71.2,88.6,11.0,0.89,12.3,18.9,2.52,23.77,2.8,298.6,18.77,False,0.025
49,603049.SH,中策橡胶,58.9,60.7,55.8,58.4,94.3,10.2,71.0,33.0,76.5,31.2,10.2,0.93,16.4,19.8,2.78,6.31,7.9,436.4,50.11,False,0.025
50,601001.SH,晋控煤业,58.9,46.6,55.5,86.8,43.2,51.7,38.6,80.7,95.9,73.3,18.3,0.67,11.3,40.8,4.69,13.64,33.2,303.4,18.77,True,0.025
51,601117.SH,中国化学,58.7,75.3,17.0,67.0,99.4,39.2,23.9,6.8,50.0,92.6,7.1,0.75,9.4,10.7,1.86,33.49,8.1,462.8,7.61,False,0.025
52,603979.SH,金诚信,58.4,62.0,84.8,24.8,46.6,85.2,93.2,72.2,3.5,56.8,17.7,0.42,24.7,34.4,0.58,10.21,50.9,503.5,80.35,True,0.025
53,600968.SH,海油发展,57.4,61.4,40.2,66.6,95.5,10.2,53.4,20.5,80.0,46.6,10.1,0.93,13.5,16.5,2.95,8.8,12.5,396.4,3.98,False,0.025
54,300573.SZ,兴齐眼药,56.5,57.6,98.0,13.0,39.2,85.2,97.7,98.3,6.5,22.7,18.8,0.42,32.5,81.6,0.66,5.42,36.7,142.3,41.29,True,0.025
55,002563.SZ,森马服饰,56.2,45.5,47.7,86.3,64.8,16.5,21.6,86.9,93.5,75.6,15.1,0.87,9.1,45.6,4.26,14.24,23.2,158.1,5.88,True,0.025
56,000951.SZ,中国重汽,56.0,72.6,22.8,55.8,76.7,66.5,36.9,1.7,45.3,71.6,13.1,0.56,11.2,7.6,1.77,13.16,22.1,237.9,22.39,False,0.025
57,601225.SH,陕西煤业,56.0,35.2,67.0,86.7,56.8,2.8,75.0,55.1,92.9,77.3,15.8,0.97,17.4,28.2,4.16,15.28,22.7,2554.6,27.0,True,0.025
58,601019.SH,山东出版,55.2,56.1,41.2,67.3,83.0,15.9,18.8,75.0,86.5,38.6,12.4,0.88,8.5,36.1,3.5,7.45,17.4,141.7,6.69,True,0.025
59,600177.SH,雅戈尔,55.2,65.2,38.3,52.0,68.2,60.8,5.1,88.1,80.6,9.1,14.2,0.6,6.7,46.2,3.04,3.14,21.2,364.8,7.79,True,0.025
60,600348.SH,华阳股份,55.2,52.3,35.9,80.4,29.5,86.4,5.7,81.2,97.6,54.5,20.3,0.41,6.8,40.9,5.81,9.83,47.1,323.2,9.51,True,0.025
61,689009.SH,九号公司-WD,55.2,32.7,77.6,77.6,25.0,44.3,91.5,56.8,99.4,44.9,20.8,0.72,23.4,28.6,15.44,8.46,10.4,317.5,43.95,True,0.025
62,601567.SH,三星电气,55.1,49.2,56.8,65.3,18.8,94.9,55.7,58.5,75.9,49.4,22.0,0.32,13.6,29.2,2.67,9.1,42.9,209.2,14.68,True,0.025
63,601799.SH,星宇股份,54.9,71.7,49.1,27.2,66.5,79.5,60.2,32.4,9.4,54.0,14.9,0.47,14.2,19.7,0.77,9.73,14.5,246.7,81.86,False,0.025
64,603379.SH,三美股份,54.7,53.5,93.1,18.9,50.6,58.0,93.8,92.0,11.8,29.5,16.8,0.62,25.3,52.0,0.78,6.04,21.8,358.3,59.76,True,0.025
65,603486.SH,科沃斯,54.6,53.7,84.1,26.7,60.8,43.2,80.7,89.2,17.6,40.3,15.4,0.73,19.5,47.8,0.92,7.64,23.4,311.2,53.03,True,0.025
66,601677.SH,明泰铝业,54.5,88.1,25.6,16.2,97.2,74.4,40.3,3.4,16.5,15.9,8.6,0.5,11.7,8.9,0.88,4.38,28.2,208.6,16.97,False,0.025
67,600704.SH,物产中大,54.4,62.0,5.8,87.7,98.9,6.8,9.7,0.0,81.8,96.6,7.2,0.94,7.7,2.5,3.1,268.25,5.7,257.5,4.96,False,0.025
68,002701.SZ,奥瑞金,54.2,59.7,20.2,77.4,67.6,47.7,27.3,9.7,71.8,85.8,14.3,0.7,9.9,13.1,2.54,21.23,5.9,122.9,4.79,False,0.025
69,300850.SZ,新强联,54.1,82.8,50.2,0.4,77.8,90.3,46.6,55.7,0.6,0.0,12.9,0.38,12.5,28.4,0.39,1.08,22.5,102.6,24.81,True,0.025
70,002847.SZ,盐津铺子,53.2,44.5,85.9,37.9,62.5,17.6,98.9,66.5,31.8,47.2,15.2,0.86,33.8,31.7,1.34,8.95,14.1,122.1,45.12,True,0.025
71,600166.SH,福田汽车,53.0,72.3,26.2,41.1,55.7,97.2,40.3,5.1,50.0,27.8,16.1,0.29,11.7,10.0,,5.72,51.0,229.6,2.95,False,0.025
72,601702.SH,华峰铝业,51.9,70.6,52.3,14.1,75.6,63.1,78.4,13.1,21.2,3.4,13.3,0.58,18.9,14.1,1.1,1.54,18.7,158.4,15.88,False,0.025
73,300628.SZ,亿联网络,51.9,37.3,95.6,37.5,46.6,23.3,96.0,94.9,55.3,10.8,17.7,0.84,29.0,63.4,2.01,3.38,20.5,510.3,39.87,True,0.025
74,002043.SZ,兔 宝 宝,51.4,36.6,59.2,73.2,59.1,2.8,84.7,21.0,89.4,48.9,15.6,0.97,20.5,16.7,3.77,9.0,11.7,106.4,13.0,False,0.025
75,688036.SH,传音控股,50.9,42.2,54.5,64.9,22.2,72.2,67.0,35.8,45.3,94.3,21.2,0.52,15.5,20.5,1.77,41.65,37.4,665.6,57.73,False,0.025
76,600060.SH,海信视像,50.5,45.7,34.4,76.2,71.6,6.8,42.6,22.2,81.2,68.8,14.0,0.94,11.9,16.9,3.07,12.19,15.2,362.0,27.99,False,0.025
77,600216.SH,浙江医药,50.1,51.1,38.4,59.7,59.1,39.2,19.3,67.0,52.9,69.9,15.6,0.75,8.7,32.5,1.96,12.55,21.1,125.8,13.01,True,0.025
78,002415.SZ,海康威视,50.1,31.8,81.5,55.2,35.2,26.7,79.0,85.2,65.9,39.2,19.4,0.83,19.1,43.5,2.24,7.48,27.0,3187.5,35.29,True,0.025
79,603766.SH,隆鑫通用,50.1,46.4,61.8,45.9,35.2,63.1,85.2,26.7,47.6,43.2,19.4,0.58,20.7,18.1,1.82,8.18,28.9,303.7,14.62,False,0.025
80,601966.SH,玲珑轮胎,50.0,73.3,15.2,38.1,56.2,98.9,9.1,24.4,9.4,81.2,15.9,0.28,7.6,17.5,0.77,17.92,37.8,166.0,11.08,False,0.025
81,603317.SH,天味食品,50.0,35.9,75.9,52.3,42.0,26.7,70.5,84.1,72.4,22.2,18.5,0.83,16.2,41.9,2.56,5.38,31.3,140.6,13.4,True,0.025
82,601886.SH,江河集团,49.8,45.5,33.3,75.0,29.5,69.3,39.2,24.4,77.6,71.0,20.3,0.53,11.6,17.5,2.84,13.0,46.1,147.1,13.32,False,0.025
83,601965.SH,中国汽研,49.6,47.4,64.3,39.4,74.4,6.8,48.9,87.5,30.0,53.4,13.4,0.94,12.9,45.9,1.28,9.72,6.1,144.4,14.23,True,0.025
84,688208.SH,道通科技,49.5,42.4,92.5,20.9,33.5,55.7,92.0,93.2,26.5,12.5,19.5,0.63,23.8,56.0,1.23,3.63,16.7,173.6,25.77,True,0.025
85,002078.SZ,太阳纸业,48.6,55.1,29.0,55.2,82.4,14.2,36.9,17.0,41.2,76.1,12.6,0.89,11.2,15.3,1.67,14.27,15.0,431.0,14.89,False,0.025
86,603733.SH,仙鹤股份,48.5,59.2,34.3,41.4,50.6,72.2,48.9,12.5,44.7,36.4,16.8,0.52,12.9,13.8,1.76,7.26,28.1,172.9,21.71,False,0.025
87,600219.SH,南山铝业,48.4,50.5,31.1,61.7,79.5,6.8,23.9,42.0,62.4,60.8,12.7,0.94,9.4,22.3,2.16,10.64,4.7,554.7,4.83,False,0.025
88,600028.SH,中国石化,48.1,48.8,9.8,85.1,44.9,54.5,1.1,22.7,82.4,89.2,17.9,0.64,4.9,17.0,3.17,23.85,32.9,6445.3,5.29,False,0.025
89,600021.SH,上海电力,48.0,45.5,32.2,68.9,60.2,23.3,22.2,47.2,52.4,93.8,15.5,0.84,9.2,24.9,1.94,34.49,24.4,387.2,13.76,False,0.025
90,603659.SH,璞泰来,48.0,56.9,61.0,17.1,39.2,83.5,59.7,63.1,8.8,29.5,18.8,0.44,14.1,31.1,0.72,6.04,38.8,517.2,23.91,True,0.025
91,601330.SH,绿色动力,47.9,42.0,45.9,61.4,56.8,19.9,17.0,89.2,47.1,83.0,15.8,0.85,8.3,47.8,1.81,18.36,21.8,101.3,7.07,True,0.025
92,688578.SH,艾力斯,47.9,42.6,97.7,8.5,39.2,47.7,96.6,99.4,2.4,17.6,18.8,0.7,29.8,96.3,0.5,4.74,34.0,504.4,115.05,True,0.025
93,002444.SZ,巨星科技,47.7,57.6,59.5,16.2,69.9,39.2,53.4,68.8,12.9,21.0,14.1,0.75,13.5,33.0,0.8,5.11,15.8,361.4,30.72,True,0.025
94,603338.SH,浙江鼎力,47.2,44.1,67.3,33.4,62.5,16.5,67.0,67.6,38.2,26.1,15.2,0.87,15.5,32.8,1.59,5.7,10.3,291.6,57.8,True,0.025
95,603218.SH,日月股份,46.8,57.6,15.3,56.7,33.5,93.8,9.7,23.9,51.8,64.2,19.5,0.33,7.7,17.2,1.89,11.33,56.3,100.9,9.79,False,0.025
96,000338.SZ,潍柴动力,46.7,42.2,49.3,53.1,26.7,65.3,55.7,39.8,42.4,69.3,20.7,0.57,13.6,21.3,1.7,12.48,32.7,2335.5,26.99,False,0.025
97,600583.SH,海油工程,46.6,55.3,10.1,65.5,79.0,19.9,9.7,10.8,68.2,61.4,12.8,0.85,7.7,13.3,2.39,10.76,11.7,265.3,6.11,False,0.025
98,600361.SH,创新新材,46.6,69.2,16.2,31.8,50.6,97.2,26.7,0.6,43.5,14.2,16.8,0.29,9.7,3.2,1.72,3.96,51.6,141.8,3.7,False,0.025
99,603393.SH,新天然气,46.0,30.0,46.7,77.4,40.9,13.6,22.2,83.5,68.8,90.3,18.7,0.9,9.2,41.6,2.41,23.93,16.4,106.6,25.99,True,0.025
100,300750.SZ,宁德时代,46.0,40.5,74.1,29.0,27.3,60.2,88.6,52.3,21.8,39.8,20.6,0.61,22.3,26.2,1.11,7.49,33.6,17535.0,373.0,True,0.025
101,600352.SH,浙江龙盛,46.0,44.7,36.6,57.9,19.9,81.8,17.0,65.9,64.7,47.7,21.5,0.46,8.3,31.5,2.22,8.96,53.5,409.3,12.81,True,0.025
102,001203.SZ,大中矿业,46.0,36.8,72.4,37.9,2.3,88.6,61.9,88.1,57.1,9.1,64.3,0.39,14.3,46.2,2.02,3.14,59.0,419.3,27.58,True,0.025
103,002946.SZ,新乳业,45.8,38.3,71.0,35.7,46.0,26.7,79.0,59.1,14.1,68.2,17.8,0.83,19.1,29.3,0.82,12.01,20.8,139.3,15.33,True,0.025
104,600388.SH,紫金龙净,45.8,46.8,45.9,43.5,40.9,55.7,44.3,48.3,49.4,34.7,18.7,0.63,12.2,25.2,1.84,6.99,29.2,228.6,18.2,False,0.025
