rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
138,300750.SZ,宁德时代,385.32,17946.3,21.1,1.11,33.8,0.63,22.3,26.2,7.49,0.025,True
139,002315.SZ,焦点科技,26.3,103.7,21.2,2.7,17.1,0.86,17.5,78.6,7.99,0.025,True
140,600699.SH,均胜电子,19.22,296.0,21.2,1.23,34.8,0.63,9.5,18.3,18.08,0.025,False
141,601567.SH,三星电气,14.77,202.2,21.2,2.67,42.9,0.31,13.6,29.2,9.1,0.025,True
142,601958.SH,金钼股份,23.13,751.5,21.4,2.47,27.6,0.86,17.5,41.2,3.11,0.025,True
143,600312.SH,平高电气,20.39,273.8,21.5,0.66,25.1,0.8,11.2,24.0,1.22,0.025,False
144,300888.SZ,稳健医疗,30.31,166.1,21.5,1.57,33.5,0.66,8.2,47.8,10.52,0.025,True
145,000923.SZ,河钢资源,16.5,102.5,22.1,2.73,13.6,0.67,6.0,57.7,10.6,0.025,True
146,600572.SH,康恩贝,4.42,106.9,22.1,3.2,35.8,0.63,8.4,53.9,9.17,0.025,True
147,300457.SZ,赢合科技,21.57,137.2,22.2,0.69,23.9,0.97,9.0,22.6,7.81,0.025,False
148,688278.SH,特宝生物,60.67,242.8,22.5,0.61,16.8,0.95,31.4,91.1,2.68,0.025,True
149,002487.SZ,大金重工,35.77,261.0,22.5,0.24,46.2,0.3,10.4,33.4,6.76,0.025,True
150,002832.SZ,比音勒芬,24.38,137.9,22.8,2.06,32.7,0.69,12.0,75.1,5.71,0.025,True
151,002683.SZ,广东宏大,29.58,222.8,23.0,1.25,31.2,0.88,15.4,20.9,7.39,0.025,False
152,002595.SZ,豪迈科技,48.0,557.5,23.3,1.2,22.6,0.85,19.6,33.6,1.7,0.025,True
153,301291.SZ,明阳电气,37.91,116.9,23.3,1.07,20.3,0.52,12.3,20.5,3.03,0.025,False
154,600063.SH,皖维高新,5.76,116.5,23.7,1.42,44.2,0.5,7.0,12.7,5.01,0.025,False
155,603236.SH,移远通信,55.96,231.0,23.9,0.59,45.1,0.52,15.2,18.0,188.41,0.025,False
156,002475.SZ,立讯精密,54.47,4156.8,24.1,0.43,38.2,0.5,21.2,12.0,4.09,0.025,False
157,300957.SZ,贝泰妮,33.47,131.5,24.2,0.86,30.8,0.74,9.9,73.7,8.33,0.025,True
158,300693.SZ,盛弘股份,42.21,132.3,24.2,0.87,28.7,0.78,23.3,39.3,5.73,0.025,True
159,002202.SZ,金风科技,18.8,773.0,24.8,1.28,59.5,0.4,9.2,17.1,3.9,0.025,False
160,300130.SZ,新国都,19.79,104.2,24.9,1.39,22.2,0.72,11.5,32.8,3.59,0.025,True
161,600320.SH,振华重工,4.15,212.4,24.9,1.11,47.7,0.65,6.3,14.0,23.05,0.025,False
