代码,名称,层级,评分排名,综合评分,PE,PEG,股息率%,现价,52周最高,52周最低,dist52(现价/52周高),距高点%,分档,行情日期
603816.SH,顾家家居,gm,10,73.1,13.0,0.8,3.89,25.06,36.21,20.65,0.6921,-30.79,过远,2026-08-25
600761.SH,安徽合力,scored,35,64.8,12.1,0.86,2.44,16.19,23.89,15.8,0.6777,-32.23,过远,2026-08-25
002001.SZ,新 和 成,core,4,77.5,11.3,0.69,2.01,26.32,39.391,21.422,0.6682,-33.18,过远,2026-08-25
000791.SZ,甘肃能源,core,,,11.4,1.3,1.55,7.21,10.91,6.07,0.6609,-33.91,过远,2026-08-25
600380.SH,健康元,gm,,,13.0,1.61,1.65,9.24,13.99,9.08,0.6605,-33.95,过远,2026-08-25
002011.SZ,盾安环境,core,12,71.6,10.0,0.81,,10.06,15.45,9.73,0.6511,-34.89,过远,2026-08-25
000528.SZ,柳    工,core,37,64.1,10.5,0.37,2.07,8.12,12.654,7.33,0.6417,-35.83,过远,2026-08-25
000513.SZ,丽珠集团,gm,,,14.0,1.89,3.62,25.97,41.15,25.74,0.6311,-36.89,过远,2026-08-25
601800.SH,中国交建,core,,,7.1,1.36,2.05,5.95,9.465,5.523,0.6286,-37.14,过远,2026-08-25
601877.SH,正泰电器,core,23,68.4,11.1,0.82,1.99,25.95,41.536,22.656,0.6248,-37.52,过远,2026-08-25
002555.SZ,三七互娱,gm,,,12.6,1.6,1.54,18.69,30.404,15.606,0.6147,-38.53,过远,2026-08-25
605599.SH,菜百股份,core,15,70.7,11.0,0.82,3.98,16.51,27.57,12.98,0.5988,-40.12,过远,2026-08-25
603444.SH,吉比特,gm,21,68.8,12.2,1.34,2.07,385.09,655.051,318.0,0.5879,-41.21,过远,2026-08-25
000963.SZ,华东医药,gm,,,13.6,1.05,1.12,27.28,46.43,25.63,0.5876,-41.24,过远,2026-08-25
000786.SZ,北新建材,gm,,,12.4,1.41,2.63,17.0,29.135,16.53,0.5835,-41.65,过远,2026-08-25
002020.SZ,京新药业,gm,,,14.4,1.41,2.59,12.9,22.286,11.45,0.5788,-42.12,过远,2026-08-25
600933.SH,爱柯迪,gm,27,67.4,12.6,0.52,1.62,13.85,24.09,12.46,0.5749,-42.51,过远,2026-08-25
002847.SZ,盐津铺子,gm,,,14.9,0.84,1.34,45.3,78.93,43.13,0.5739,-42.61,过远,2026-08-25
601717.SH,中创智领,core,9,73.7,6.6,1.16,4.87,15.09,26.44,13.66,0.5707,-42.93,过远,2026-08-25
600415.SH,小商品城,scored,39,63.9,15.4,0.8,1.63,12.17,22.9,9.46,0.5314,-46.86,过远,2026-08-25
603799.SH,华友钴业,core,40,63.6,11.0,0.41,1.38,39.13,81.67,35.58,0.4791,-52.09,过远,2026-08-25
300850.SZ,新强联,gm,,,13.0,0.38,0.39,25.07,57.415,22.06,0.4366,-56.34,过远,2026-08-25
